"OBJECTID","LAYER_NAME","FEATURE_VALUE"
1532,ZIP CODE,"11233"
1533,ZIP CODE,"11436"
1534,ZIP CODE,"11213"
1535,ZIP CODE,"11212"
1536,ZIP CODE,"11225"
1537,ZIP CODE,"11218"
1538,ZIP CODE,"11226"
1539,ZIP CODE,"11219"
1540,ZIP CODE,"11210"
1541,ZIP CODE,"11230"
1542,ZIP CODE,"11204"
1543,ZIP CODE,"10471"
1544,ZIP CODE,"10470"
1545,ZIP CODE,"10466"
1546,ZIP CODE,"10467"
1547,ZIP CODE,"10463"
1548,ZIP CODE,"10475"
1549,ZIP CODE,"10464"
1550,ZIP CODE,"10469"
1551,ZIP CODE,"10468"
1552,ZIP CODE,"10463"
1553,ZIP CODE,"10458"
1554,ZIP CODE,"10034"
1555,ZIP CODE,"10033"
1556,ZIP CODE,"10462"
1557,ZIP CODE,"10040"
1558,ZIP CODE,"10453"
1559,ZIP CODE,"10465"
1560,ZIP CODE,"10464"
1561,ZIP CODE,"10464"
1562,ZIP CODE,"10461"
1563,ZIP CODE,"10457"
1564,ZIP CODE,"10460"
1565,ZIP CODE,"10032"
1566,ZIP CODE,"10452"
1567,ZIP CODE,"10456"
1568,ZIP CODE,"10472"
1569,ZIP CODE,"10031"
1570,ZIP CODE,"10039"
1571,ZIP CODE,"10459"
1572,ZIP CODE,"10451"
1573,ZIP CODE,"10473"
1574,ZIP CODE,"10030"
1575,ZIP CODE,"10027"
1576,ZIP CODE,"10474"
1577,ZIP CODE,"10455"
1578,ZIP CODE,"10037"
1579,ZIP CODE,"10024"
1580,ZIP CODE,"10454"
1581,ZIP CODE,"10026"
1582,ZIP CODE,"10035"
1583,ZIP CODE,"10025"
1584,ZIP CODE,"10035"
1585,ZIP CODE,"11357"
1586,ZIP CODE,"10029"
1587,ZIP CODE,"00083"
1588,ZIP CODE,"11356"
1589,ZIP CODE,"11359"
1590,ZIP CODE,"11360"
1591,ZIP CODE,"11105"
1592,ZIP CODE,"10128"
1593,ZIP CODE,"11371"
1594,ZIP CODE,"10023"
1595,ZIP CODE,"11363"
1596,ZIP CODE,"10028"
1597,ZIP CODE,"11354"
1598,ZIP CODE,"11102"
1599,ZIP CODE,"11370"
1600,ZIP CODE,"10021"
1601,ZIP CODE,"11361"
1602,ZIP CODE,"11358"
1603,ZIP CODE,"11362"
1604,ZIP CODE,"10044"
1605,ZIP CODE,"11369"
1606,ZIP CODE,"11103"
1607,ZIP CODE,"11106"
1608,ZIP CODE,"11368"
1609,ZIP CODE,"11377"
1610,ZIP CODE,"10036"
1611,ZIP CODE,"11355"
1612,ZIP CODE,"11101"
1613,ZIP CODE,"11364"
1614,ZIP CODE,"10018"
1615,ZIP CODE,"10020"
1616,ZIP CODE,"11005"
1617,ZIP CODE,"10017"
1618,ZIP CODE,"10001"
1619,ZIP CODE,"10011"
1620,ZIP CODE,"10016"
1621,ZIP CODE,"11104"
1622,ZIP CODE,"11109"
1623,ZIP CODE,"10010"
1624,ZIP CODE,"11367"
1625,ZIP CODE,"10014"
1626,ZIP CODE,"10003"
1627,ZIP CODE,"11222"
1628,ZIP CODE,"10002"
1629,ZIP CODE,"11378"
1630,ZIP CODE,"10009"
1631,ZIP CODE,"10012"
1632,ZIP CODE,"10013"
